-DOCSTART- -X- -X- O
chéile chéile Reflex=Yes PRON
. . _ PUNCT

Gheibh faigh Tense=Fut VERB
thus' thus' Number=Sing|Person=2|PronType=Emp PRON
e e Gender=Masc|Number=Sing|Person=3 PRON
, , _ PUNCT
" " _ PUNCT
as arsa Tense=Past VERB
ise i Gender=Fem|Number=Sing|Person=3|PronType=Emp PRON
, , _ PUNCT
“ “ _ PUNCT
agus agus _ CCONJ
tha bi Tense=Pres VERB
mi mi Number=Sing|Person=1 PRON
'n 'n _ ADP
dòchas dòchas Case=Dat|Gender=Masc|Number=Sing NOUN
gum gum _ PART
bi bi Tense=Fut VERB
buaidh buaidh Case=Nom|Gender=Fem|Number=Sing NOUN
dhut do Number=Sing|Person=2 ADP
'na an _ ADP
chois cas Case=Dat|Gender=Fem|Number=Sing NOUN
. . _ PUNCT

Tha bi Tense=Pres VERB
dùil dùil Case=Nom|Gender=Fem|Number=Sing NOUN
gum gum _ PART
mol mol Tense=Fut VERB
e e Gender=Masc|Number=Sing|Person=3 PRON
gearradh gearradh Case=Nom|Gender=Masc|Number=Sing NOUN
de de _ ADP
ma ma _ ADV
naoi naoi _ NUM
deug deug _ NUM
not not Case=Dat|Gender=Masc|Number=Sing NOUN
sa an _ ADP
bhliadhna bliadhna Case=Dat|Gender=Fem|Number=Sing NOUN
thar thar _ ADP
nan an Case=Gen|Gender=Fem|Number=Plur DET
còig còig _ NUM
bliadhna bliadhna Case=Gen|Gender=Fem|Number=Sing NOUN
romhainn ro Number=Plur|Person=1 ADP
. . _ PUNCT

Tha bi Tense=Pres VERB
a a _ DET
h-uile uile _ DET
coltas coltas Case=Nom|Gender=Masc|Number=Sing NOUN
ann ann Gender=Masc|Number=Sing|Person=3 ADP
gun gun _ PART
tèid rach Tense=Fut VERB
cùis cùis Case=Nom|Gender=Fem|Number=Sing NOUN
lagh lagh Case=Gen|Gender=Masc|Number=Sing NOUN
dhan do _ ADP
an an Gender=Fem|Number=Sing DET
Roinn Roinn _ PROPN
Eòrpa Eòrpa _ PROPN
, , _ PUNCT
an an _ ADP
dèidh dèidh _ ADP
do do _ ADP
Riaghaltas riaghaltas Case=Dat|Gender=Masc|Number=Sing NOUN
Bhreatainn Breatainn _ PROPN
a a PartType=Inf PART
bhith bi VerbForm=Inf NOUN
diùltadh diùlt _ NOUN
taic taic Case=Nom|Gender=Fem|Number=Sing NOUN
airgiod airgiod Case=Gen|Gender=Masc|Number=Sing NOUN
a a PartType=Inf PART
thoirt toir VerbForm=Inf NOUN
do do _ ADP
thuathanaich tuathanach Case=Dat|Gender=Masc|Number=Plur NOUN
èisg iasg Case=Gen|Gender=Masc|Number=Sing NOUN
mu mu _ ADP
choinneamh coinneamh Case=Dat|Gender=Fem|Number=Sing NOUN
na na PartType=Vb|PronType=Rel PART
chaill caill Tense=Past VERB
iad iad Number=Plur|Person=3 PRON
, , _ PUNCT
leis leis _ SCONJ
gun gun _ PART
tàinig thig Tense=Past VERB
orra air Number=Plur|Person=3 ADP
cuir cuir _ NOUN
às as Gender=Masc|Number=Sing|Person=3 ADP
dhan do _ ADP
stoc stoc Case=Dat|Gender=Masc|Number=Sing NOUN
air air _ ADP
an an Mood=Int|PartType=Vb|PronType=Int PART
robh bi Tense=Past VERB
an an Gender=Masc|Number=Sing DET
galair galair Case=Nom|Gender=Masc|Number=Sing NOUN
ISA isa _ X
. . _ PUNCT

“ “ _ PUNCT
Anns anns _ ADP
na an Gender=Masc|Number=Plur DET
làithean làtha Case=Dat|Gender=Masc|Number=Plur NOUN
a a PartType=Vb|PronType=Rel PART
dh’fhalbh falbh Tense=Past VERB
bhiodh bi Mood=Cnd VERB
poileasaidhean poileasadh Case=Nom|Gender=Fem|Number=Plur NOUN
gan gan _ PART
dèanamh dèan VerbForm=Vnoun NOUN
a a _ ADP
thaobh taobh Case=Dat|Gender=Masc|Number=Sing NOUN
na an Case=Gen|Gender=Fem|Number=Sing DET
Gàidhlig gàidhlig Case=Gen|Gender=Fem|Number=Sing NOUN
gun gun _ ADP
sgrùdadh sgrùdadh Case=Dat|Gender=Masc|Number=Sing NOUN
neo neo _ CCONJ
deasbad deasbad Case=Dat|Gender=Masc|Number=Sing NOUN
. . _ PUNCT

thàinig thig Tense=Past VERB
e e Gender=Masc|Number=Sing|Person=3 PRON
air air _ ADP
ais ais _ ADP
gu gu _ ADP
Cooper Cooper _ PROPN
